year,exp,zone,type,cnt,thr_red_avg,thr_avg
2015,ssp126,Temperate,Narrowbody,684329,21.8624,0.781376
2015,ssp126,Temperate,Widebody,568528,11.9293,0.880707
2015,ssp126,Temperate,Narrowbody,594712,6.49743,0.9350257
2015,ssp126,Temperate,Widebody,485523,9.0107,0.909893
2015,ssp245,Temperate,Narrowbody,684557,21.876,0.78124
2015,ssp245,Temperate,Widebody,568778,11.9482,0.880518
2015,ssp245,Temperate,Narrowbody,595129,6.51263,0.9348737
2015,ssp245,Temperate,Widebody,487122,8.9982,0.910018
2015,ssp370,Temperate,Narrowbody,684386,21.8679,0.781321
2015,ssp370,Temperate,Widebody,568842,11.9351,0.880649
2015,ssp370,Temperate,Narrowbody,595017,6.49911,0.9350089
2015,ssp370,Temperate,Widebody,486357,8.99214,0.9100786
2015,ssp585,Temperate,Narrowbody,684276,21.8709,0.781291
2015,ssp585,Temperate,Widebody,568858,11.9013,0.880987
2015,ssp585,Temperate,Narrowbody,595117,6.46645,0.9353355
2015,ssp585,Temperate,Widebody,485833,8.97228,0.9102772
2015,ssp126,Tropical,Narrowbody,374869,21.4593,0.785407
2015,ssp126,Tropical,Widebody,289181,9.91895,0.9008105
2015,ssp126,Tropical,Narrowbody,312528,4.56924,0.9543076
2015,ssp126,Tropical,Widebody,236591,7.04861,0.9295139
2015,ssp245,Tropical,Narrowbody,374952,21.4825,0.785175
2015,ssp245,Tropical,Widebody,290087,9.9339,0.900661
2015,ssp245,Tropical,Narrowbody,312651,4.59019,0.9540981
2015,ssp245,Tropical,Widebody,237377,7.05887,0.9294113
2015,ssp370,Tropical,Narrowbody,374980,21.4857,0.785143
2015,ssp370,Tropical,Widebody,290390,9.92909,0.9007091
2015,ssp370,Tropical,Narrowbody,312986,4.5839,0.954161
2015,ssp370,Tropical,Widebody,237803,7.04651,0.9295349
2015,ssp585,Tropical,Narrowbody,374814,21.4808,0.785192
2015,ssp585,Tropical,Widebody,290021,9.93642,0.9006358
2015,ssp585,Tropical,Narrowbody,312831,4.59498,0.9540502
2015,ssp585,Tropical,Widebody,236941,7.08189,0.9291811
2015,ssp126,Subtropical,Narrowbody,139316,20.6664,0.793336
2015,ssp126,Subtropical,Widebody,106727,12.6262,0.873738
2015,ssp126,Subtropical,Narrowbody,110949,7.51355,0.9248645
2015,ssp126,Subtropical,Widebody,90777,10.2087,0.897913
2015,ssp245,Subtropical,Narrowbody,139311,20.683,0.79317
2015,ssp245,Subtropical,Widebody,106840,12.694,0.87306
2015,ssp245,Subtropical,Narrowbody,110987,7.56462,0.9243538
2015,ssp245,Subtropical,Widebody,91030,10.247,0.89753
2015,ssp370,Subtropical,Narrowbody,139265,20.6462,0.793538
2015,ssp370,Subtropical,Widebody,106600,12.5978,0.874022
2015,ssp370,Subtropical,Narrowbody,110825,7.49085,0.9250915
2015,ssp370,Subtropical,Widebody,90387,10.2138,0.897862
2015,ssp585,Subtropical,Narrowbody,139299,20.6703,0.793297
2015,ssp585,Subtropical,Widebody,106650,12.6395,0.873605
2015,ssp585,Subtropical,Narrowbody,110937,7.54167,0.9245833
2015,ssp585,Subtropical,Widebody,90749,10.2442,0.897558
2015,ssp126,Frigid,Narrowbody,2918,24.9465,0.750535
2015,ssp126,Frigid,Widebody,2918,7.52056,0.9247944
2015,ssp126,Frigid,Narrowbody,2918,0,1
2015,ssp126,Frigid,Widebody,2721,2.97391,0.9702609
2015,ssp245,Frigid,Narrowbody,2918,24.9452,0.750548
2015,ssp245,Frigid,Widebody,2918,7.21899,0.9278101
2015,ssp245,Frigid,Narrowbody,2918,0,1
2015,ssp245,Frigid,Widebody,2744,2.57143,0.9742857
2015,ssp370,Frigid,Narrowbody,2918,24.9195,0.750805
2015,ssp370,Frigid,Widebody,2918,7.36635,0.9263365
2015,ssp370,Frigid,Narrowbody,2918,0,1
2015,ssp370,Frigid,Widebody,2705,2.99926,0.9700074
2015,ssp585,Frigid,Narrowbody,2918,24.9273,0.750727
2015,ssp585,Frigid,Widebody,2918,7.63845,0.9236155
2015,ssp585,Frigid,Narrowbody,2918,0,1
2015,ssp585,Frigid,Widebody,2702,3.28868,0.9671132
