"iata","icao","name","lat","lon","zone"
"SJW","ZBSJ","Shijiazhuang Daguocun International Airport",38.28070068,114.6969986,"Temperate"
"CMN","GMMN","Mohammed V International Airport",33.36750031,-7.589970112,"Temperate"
"INC","ZLIC","Yinchuan Hedong International Airport",38.322758,106.393214,"Temperate"
"TFS","GCTS","Tenerife South Airport",28.0445,-16.5725,"Temperate"
"VCP","SBKP","Viracopos International Airport",-23.00740051,-47.1344986,"Tropical"
"SHJ","OMSJ","Sharjah International Airport",25.32859993,55.51720047,"Temperate"
"SNA","KSNA","John Wayne Airport-Orange County Airport",33.67570114,-117.8679962,"Temperate"
"CMB","VCBI","Bandaranaike International Colombo Airport",7.180759907,79.88410187,"Tropical"
"CPT","FACT","Cape Town International Airport",-33.96480179,18.60169983,"Temperate"
"CTA","LICC","Catania-Fontanarossa Airport",37.466801,15.0664,"Temperate"
"MRS","LFML","Marseille Provence Airport",43.43927192,5.221424103,"Temperate"
"SAT","KSAT","San Antonio International Airport",29.533701,-98.469803,"Temperate"
"RSW","KRSW","Southwest Florida International Airport",26.53619957,-81.75520325,"Temperate"
"CLE","KCLE","Cleveland Hopkins International Airport",41.4117012,-81.84980011,"Temperate"
"MFM","VMMC","Macau International Airport",22.149599,113.592003,"Tropical"
"BAH","OBBI","Bahrain International Airport",26.267295,50.63764,"Temperate"
"BKI","WBKK","Kota Kinabalu International Airport",5.937210083,116.0510025,"Tropical"
"TLS","LFBO","Toulouse-Blagnac Airport",43.629101,1.36382,"Temperate"
"YNT","ZSYT","Yantai Penglai International Airport",37.657222,120.987222,"Temperate"
"PIT","KPIT","Pittsburgh International Airport",40.49150085,-80.23290253,"Temperate"
"IND","KIND","Indianapolis International Airport",39.7173,-86.294403,"Temperate"
"BLQ","LIPE","Bologna Guglielmo Marconi Airport",44.5354,11.2887,"Temperate"
"SJU","TJSJ","Luis Munoz Marin International Airport",18.43939972,-66.00180054,"Tropical"
"PEN","WMKP","Penang International Airport",5.297140121,100.2770004,"Tropical"
"MDE","SKRG","Jose Maria Córdova International Airport",6.16454,-75.4231,"Tropical"
"SDU","SBRJ","Santos Dumont Airport",-22.91049957,-43.1631012,"Tropical"
"BRS","EGGD","Bristol Airport",51.382702,-2.71909,"Temperate"
"ADL","YPAD","Adelaide International Airport",-34.945,138.531006,"Temperate"
"GLA","EGPF","Glasgow International Airport",55.871899,-4.43306,"Temperate"
"CVG","KCVG","Cincinnati Northern Kentucky International Airport",39.048801,-84.667801,"Temperate"
"FAO","LPFR","Faro Airport",37.01440048,-7.965909958,"Temperate"
"TIJ","MMTJ","General Abelardo L. Rodríguez International Airport",32.54109955,-116.9700012,"Temperate"
"REC","SBRF","Guararapes - Gilberto Freyre International Airport",-8.126489639,-34.92359924,"Tropical"
"GOI","VOGO","Dabolim Airport",15.38080025,73.83139801,"Tropical"
"PNQ","VAPO","Pune Airport / Lohagaon Air Force Station",18.5821,73.919701,"Tropical"
"VLC","LEVC","Valencia Airport",39.4893,-0.481625,"Temperate"
"CMH","KCMH","John Glenn Columbus International Airport",39.998001,-82.891899,"Temperate"
"BSL","LFSB","EuroAirport Basel-Mulhouse-Freiburg Airport",47.59,7.529167,"Temperate"
"THR","OIII","Mehrabad International Airport",35.68920135,51.31340027,"Temperate"
"BEY","OLBA","Beirut Rafic Hariri International Airport",33.82089996,35.48839951,"Temperate"
"KRK","EPKK","Kraków John Paul II International Airport",50.077702,19.7848,"Temperate"
"AMM","OJAI","Queen Alia International Airport",31.72260094,35.99319839,"Temperate"
"JJN","ZSQZ","Quanzhou Jinjiang International Airport",24.7964,118.589996,"Temperate"
"POA","SBPA","Salgado Filho Airport",-29.99440002,-51.17139816,"Temperate"
"KNO","WIMM","Kualanamu International Airport",3.642222,98.885278,"Tropical"
"CRL","EBCI","Brussels South Charleroi Airport",50.459202,4.45382,"Temperate"
"DMM","OEDF","King Fahd International Airport",26.47120094,49.79790115,"Temperate"
"KWL","ZGKL","Guilin Liangjiang International Airport",25.2181,110.039001,"Temperate"
"YEG","CYEG","Edmonton International Airport",53.30970001,-113.5800018,"Temperate"
"IBZ","LEIB","Ibiza Airport",38.8728981,1.37311995,"Temperate"
"NBO","HKJK","Jomo Kenyatta International Airport",-1.319239974,36.92779922,"Tropical"
"WUX","ZSWX","Sunan Shuofang International Airport",31.49440002,120.4290009,"Temperate"
"BOD","LFBD","Bordeaux-Mérignac Airport",44.8283,-0.715556,"Temperate"
"KHH","RCKH","Kaohsiung International Airport",22.577101,120.349998,"Tropical"
"ALG","DAAG","Houari Boumediene Airport",36.691002,3.21541,"Temperate"
"JOG","WAHH","Adisutjipto International Airport",-7.78818,110.431999,"Tropical"
"SVQ","LEZL","Sevilla Airport",37.41799927,-5.893109798,"Temperate"
"OGG","PHOG","Kahului Airport",20.8986,-156.429993,"Tropical"
"SSA","SBSV","Deputado Luiz Eduardo Magalhães International Airport",-12.9086113,-38.32249832,"Tropical"
"RIX","EVRA","Riga International Airport",56.92359924,23.97109985,"Temperate"
"MLA","LMML","Malta International Airport",35.857498,14.4775,"Temperate"
"KEF","BIKF","Keflavik International Airport",63.985001,-22.6056,"Temperate"
"SWA","ZGOW","Jieyang Chaoshan International Airport",23.552,116.5033,"Temperate"
"FOR","SBFZ","Pinto Martins International Airport",-3.77628,-38.5326,"Tropical"
"MED","OEMA","Prince Mohammad Bin Abdulaziz Airport",24.5534,39.705101,"Temperate"
"NTE","LFRS","Nantes Atlantique Airport",47.15319824,-1.610730052,"Temperate"
"XNN","ZLXN","Xining Caojiabu Airport",36.5275,102.042999,"Temperate"
"ACE","GCRR","Lanzarote Airport",28.945499,-13.6052,"Temperate"
"SOF","LBSF","Sofia Airport",42.69669342,23.41143608,"Temperate"
"JAX","KJAX","Jacksonville International Airport",30.49410057,-81.68789673,"Temperate"
"LCA","LCLK","Larnaca International Airport",34.875099,33.624901,"Temperate"
"LJG","ZPLJ","Lijiang Airport",26.68000031,100.2460022,"Temperate"
"CHC","NZCH","Christchurch International Airport",-43.48939896,172.5319977,"Temperate"
"RGN","VYYY","Yangon International Airport",16.90730095,96.1332016,"Tropical"
"PUJ","MDPC","Punta Cana International Airport",18.56739998,-68.36340332,"Tropical"
"PMO","LICJ","Falcone–Borsellino Airport",38.175999,13.091,"Temperate"
"PBI","KPBI","Palm Beach International Airport",26.68320084,-80.09559631,"Temperate"
"SKG","LGTS","Thessaloniki Macedonia International Airport",40.5196991,22.97089958,"Temperate"
"MKE","KMKE","General Mitchell International Airport",42.94720078,-87.89659882,"Temperate"
"KTM","VNKT","Tribhuvan International Airport",27.6966,85.3591,"Temperate"
"KHI","OPKC","Jinnah International Airport",24.9065,67.160797,"Temperate"
"TSA","RCSS","Taipei Songshan Airport",25.06940079,121.552002,"Temperate"
"BDL","KBDL","Bradley International Airport",41.93889999,-72.68319702,"Temperate"
"CXR","VVCR","Cam Ranh International Airport / Cam Ranh Air Base",11.9982,109.219002,"Tropical"
"HLP","WIHH","Halim Perdanakusuma International Airport",-6.266610146,106.8909988,"Tropical"
"LIN","LIML","Milano Linate Airport",45.445099,9.27674,"Temperate"
"OOL","YBCG","Gold Coast Airport",-28.1644001,153.5050049,"Temperate"
"LOS","DNMM","Murtala Muhammed International Airport",6.577370167,3.321160078,"Tropical"
"PNH","VDPP","Phnom Penh International Airport",11.5466,104.844002,"Tropical"
"WLG","NZWN","Wellington International Airport",-41.32720184,174.8049927,"Temperate"
"GOT","ESGG","Gothenburg-Landvetter Airport",57.66279984,12.27980042,"Temperate"
"RAK","GMMX","Menara Airport",31.60689926,-8.036299706,"Temperate"
"BPN","WALL","Sultan Aji Muhamad Sulaiman Airport",-1.268270016,116.8939972,"Tropical"
"GAU","VEGT","Lokpriya Gopinath Bordoloi International Airport",26.10610008,91.58589935,"Temperate"
"CWB","SBCT","Afonso Pena Airport",-25.5284996,-49.17580032,"Temperate"
"HER","LGIR","Heraklion International Nikos Kazantzakis Airport",35.33969879,25.18029976,"Temperate"
"TUN","DTTA","Tunis Carthage International Airport",36.85100174,10.22719955,"Temperate"
"BFS","EGAA","Belfast International Airport",54.65750122,-6.215829849,"Temperate"
"BGO","ENBR","Bergen Airport Flesland",60.29339981,5.218140125,"Temperate"
"OVB","UNNT","Tolmachevo Airport",55.01259995,82.65070343,"Temperate"
"EIN","EHEH","Eindhoven Airport",51.45009995,5.374529839,"Temperate"
"IKA","OIIE","Imam Khomeini International Airport",35.41609955,51.15219879,"Temperate"
"HAJ","EDDV","Hannover Airport",52.46110153,9.685079575,"Temperate"
"KCH","WBGG","Kuching International Airport",1.484699965,110.3470001,"Tropical"
"BUR","KBUR","Bob Hope Airport",34.197703,-118.356378,"Temperate"
"CIA","LIRA","Ciampino–G. B. Pastine International Airport",41.7994,12.5949,"Temperate"
"TFN","GCXO","Tenerife Norte Airport",28.4827,-16.341499,"Temperate"
"BIO","LEBB","Bilbao Airport",43.30110168,-2.910609961,"Temperate"
"LKO","VILK","Chaudhary Charan Singh International Airport",26.76059914,80.88929749,"Temperate"
"BEG","LYBE","Belgrade Nikola Tesla Airport",44.81840134,20.3090992,"Temperate"
"AER","URSS","Sochi International Airport",43.449902,39.9566,"Temperate"
"HAV","MUHA","José Martí International Airport",22.98920059,-82.40910339,"Tropical"
"KOJ","RJFK","Kagoshima Airport",31.80340004,130.7189941,"Temperate"
"ALA","UAAA","Almaty Airport",43.35210037,77.04049683,"Temperate"
"DUR","FALE","King Shaka International Airport",-29.61444444,31.11972222,"Temperate"
"SJO","MROC","Juan Santamaría International Airport",9.99386,-84.208801,"Tropical"
"BRI","LIBD","Bari Karol Wojtyła Airport",41.138901,16.760599,"Temperate"
"PSA","LIRP","Pisa International Airport",43.683899,10.3927,"Temperate"
"ONT","KONT","Ontario International Airport",34.05599976,-117.6009979,"Temperate"
"CTG","SKCG","Rafael Nuñez International Airport",10.4424,-75.513,"Tropical"
"CLO","SKCL","Alfonso Bonilla Aragon International Airport",3.54322,-76.3816,"Tropical"
"ANC","PANC","Ted Stevens Anchorage International Airport",61.17440033,-149.9960022,"Temperate"
"SVX","USSS","Koltsovo Airport",56.74309921,60.80270004,"Temperate"
"JAI","VIJP","Jaipur International Airport",26.8242,75.812202,"Temperate"
"NAY","ZBNY","Beijing Nanyuan Airport",39.78279877,116.3880005,"Temperate"
"SJD","MMSD","Los Cabos International Airport",23.15180016,-109.7210007,"Tropical"
"UIO","SEQM","Mariscal Sucre International Airport",-0.129166667,-78.3575,"Tropical"
"ISB","OPIS","Islamabad International Airport",33.549,72.82566,"Temperate"
"YOW","CYOW","Ottawa Macdonald-Cartier International Airport",45.32249832,-75.66919708,"Temperate"
"ABQ","KABQ","Albuquerque International Sunport",35.040199,-106.609001,"Temperate"
"FUE","GCFV","Fuerteventura Airport",28.45269966,-13.86380005,"Temperate"
